title,value
com.ti.dvt2.uia.autostart_4.1.0.201609091143.jar,0.007204474
com.ti.dvt2.uia_4.1.0.201609091143.jar,0.007204474
com.ti.dvt2.via.ccs_4.1.0.201609091143.jar,0.007204474
org.eclipse.draw2d_3.10.1.201508170204.jar,0.88
org.eclipse.gef_3.10.1.201508170204.jar,0.88
com.ti.dvt.analysis.framework_4.1.0.201609091143.jar,0.017204474
com.ti.dvt.analysis.suite.gui_4.1.0.201609091143.jar,0.907126425
com.ti.dvt.analysis.suite_4.1.0.201609091143.jar,0.027126425000000003
com.ti.dvt.analysis.traceviewer_4.1.0.201609091143.jar,0.017204474
com.ti.dvt.analyzersuite_3.5.0.201609091143.jar,0.007204474
com.ti.dvt.ccstudioideadapter.bin_4.1.0.201609091143.jar,0.130304474
com.ti.dvt.ccstudioideadapter_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.ccstudiosymbolmanager_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.codecoverage_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.codegenCoverage_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.control.engine_4.1.0.201609091143.jar,0.24359338599999997
com.ti.dvt.control.gui_4.1.0.201609091143.jar,1
com.ti.dvt.core_4.1.0.201609091143.jar,0.541204474
com.ti.dvt.coverageplugin_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.datamodel_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.energytrace_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.graph.visualization.doc_3.5.0.201609091143.jar,0.361204474
com.ti.dvt.graph.visualization_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.gridview_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.ideadapter2_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.ideadapter_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.ofssymbolmanager_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.profile.setup.ui_4.1.0.201609091143.jar,1
com.ti.dvt.profileanalysis.doc_4.1.0.201609091143.jar,0.361204474
com.ti.dvt.profileanalysismanagerplugin_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.profileanalysismanager_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.profileanalysis_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.profiledata_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.rcp_3.1.0.201609091143.jar,0.007204474
com.ti.dvt.resource.explorer_4.1.0.201609091143.jar,0.779029765
com.ti.dvt.rovsupport.doc_4.1.0.201609091143.jar,0.361204474
com.ti.dvt.rovsupport_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.rta.interfaces_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.scripting.engine_4.1.0.201609091143.jar,1
com.ti.dvt.scripting.ui.graphvisualization_4.1.0.201609091143.jar,1
com.ti.dvt.scripting.ui.profileanalysis_4.1.0.201609091143.jar,1
com.ti.dvt.scripting.ui.rov_4.1.0.201609091143.jar,1
com.ti.dvt.scripting.ui.trace_4.1.0.201609091143.jar,1
com.ti.dvt.scripting.ui.via_4.1.0.201609091143.jar,1
com.ti.dvt.scripting.ui_4.1.0.201609091143.jar,1
com.ti.dvt.sourcerefplugin_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.sourceref_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.symbolmanager.bin_4.1.0.201609091143.jar,0.130304474
com.ti.dvt.symbolmanager_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.tidisassembly_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.trace.doc_4.1.0.201609091143.jar,0.484204474
com.ti.dvt.ui.doc_4.1.0.201609091143.jar,1
com.ti.dvt.uia.bin_4.1.0.201609091143.jar,0.130304474
com.ti.dvt.uia.doc_4.1.0.201609091143.jar,0.361204474
com.ti.dvt.uia_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.ui_4.1.0.201609091143.jar,0.887204474
com.ti.dvt.via.doc_4.1.0.201609091143.jar,0.361204474
com.ti.dvt.via.imvr_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.via.plugin.ccs_4.1.0.201609091143.jar,0.007204474
com.ti.dvt.via.plugin_4.1.0.201609091143.jar,0.007204474
com.ti.uia.autostart.view_4.1.0.201609091143.jar,0.036401554
com.ti.uia.autostart_4.1.0.201609091143.jar,0.007204474
com.ti.uia.globaltimebase_1.0.0.201609091143.jar,0.007204474
com.ti.uia.sessionmgr.view_4.1.0.201609091143.jar,0.036401554
com.ti.uia.transport.jtag_4.1.0.201609091143.jar,0.013776977
com.ti.uia.transport.monitor_4.1.0.201609091143.jar,0.044301197
com.ti.util.diskspacemonitor.bin_4.1.0.201609091143.jar,0.130304474
com.ti.util.diskspacemonitor_4.1.0.201609091143.jar,0.007204474
com.ti.util.ui_4.1.0.201609091143.jar,0.887204474
com.ti.util_4.1.0.201609091143.jar,0.007204474
org.eclipse.draw2d_3.10.1.201508170204.jar,0.88
org.eclipse.gef_3.10.1.201508170204.jar,0.88
org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_3.2.0.201604241800.jar,0.88
org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.31_2.5.0.201604241800.jar,0.88
org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.40_3.2.0.201604241800.jar,0.88
org.eclipse.rtsc.xdctools.buildDefinitions.DSPBIOS_5.42_2.5.0.201604241800.jar,0.88
org.eclipse.rtsc.xdctools.buildDefinitions.XDC.minimal_3.0.0.201604241800.jar,0.887804847
org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.00_2.5.0.201604241800.jar,0.88
org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.10_2.5.0.201604241800.jar,0.88
org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.15_2.5.0.201604241800.jar,0.88
org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.16_3.0.0.201604241800.jar,0.88
org.eclipse.rtsc.xdctools.buildDefinitions.XDC_3.2.0.201604241800.jar,0.88
org.eclipse.rtsc.xdctools.buildDefinitions_3.2.0.201604241800.jar,0.88
org.eclipse.rtsc.xdctools.managedbuild.core_3.2.0.201604241800.jar,1
org.eclipse.rtsc.xdctools.managedbuild.ui_3.2.0.201604241800.jar,1
artifacts.jar,0
content.jar,0.012892217
p2.index,0
notice.html,0
Eclipse.icns,0.88
eclipse,0.88
Info.plist,0.01
icon.xpm,0.004960976
eclipse,0.88
icon.xpm,0.004960976
eclipse,0.88
eclipse.exe,0.88
eclipsec.exe,0
.eclipseproduct,0
readme_eclipse.html,0.885908933
gnu.io.rxtx_2.1.8.0_201606281300.jar,0.435592947
org.eclipse.cdt.build.crossgcc_8.8.0.201509131935.jar,1
org.eclipse.cdt.debug.ui.memory_8.8.0.201509131935.jar,1
org.eclipse.cdt.gdb_8.8.0.201509131935.jar,1
org.eclipse.cdt.gnu.build_8.8.0.201509131935.jar,1
org.eclipse.cdt.gnu.debug_8.8.0.201509131935.jar,1
org.eclipse.cdt.gnu.dsf_8.8.0.201509131935.jar,1
org.eclipse.cdt.launch.remote_8.8.0.201509131935.jar,1
org.eclipse.cdt.native_8.8.0.201509131935.jar,0.88
org.eclipse.cdt.platform_8.8.0.201509131935.jar,0.884171011
org.eclipse.cdt_8.8.0.201509131935.jar,0.88
org.eclipse.draw2d_3.10.1.201508170204.jar,0.88
org.eclipse.e4.rcp_1.4.0.v20150903-1804.jar,0.88
org.eclipse.ecf.core.feature_1.1.0.v20150810-1719.jar,1
org.eclipse.ecf.core.ssl.feature_1.0.0.v20150810-1719.jar,1
org.eclipse.ecf.filetransfer.feature_3.10.1.v20150810-1719.jar,1
org.eclipse.ecf.filetransfer.httpclient4.feature_3.10.1.v20150810-1719.jar,1
org.eclipse.ecf.filetransfer.httpclient4.ssl.feature_1.0.0.v20150810-1719.jar,1
org.eclipse.ecf.filetransfer.ssl.feature_1.0.0.v20150810-1719.jar,1
org.eclipse.egit_4.0.3.201509231615-r.jar,0.88
org.eclipse.emf.common_2.11.0.v20150805-0538.jar,0.88
org.eclipse.emf.ecore_2.11.1.v20150805-0538.jar,0.88
org.eclipse.epp.mpc_1.4.1.v20150916-1928.jar,0.88
org.eclipse.equinox.p2.core.feature_1.3.100.v20150527-1706.jar,1
org.eclipse.equinox.p2.discovery.feature_1.0.300.v20150430-1836.jar,1
org.eclipse.equinox.p2.extras.feature_1.2.100.v20150601-1708.jar,1
org.eclipse.equinox.p2.rcp.feature_1.2.101.v20150826-1318.jar,1
org.eclipse.equinox.p2.user.ui_2.2.101.v20150826-1318.jar,1
org.eclipse.gef_3.10.1.201508170204.jar,0.88
org.eclipse.help_2.1.1.v20150904-0015.jar,0.88
org.eclipse.jgit_4.0.3.201509231615-r.jar,0.88
org.eclipse.platform_4.5.1.v20150904-0015.jar,0.884171011
org.eclipse.rcp_4.5.1.v20150904-0015.jar,0.88
org.eclipse.rse.core_3.7.0.201505221634.jar,1
org.eclipse.rse.dstore_3.7.0.201505221634.jar,0.88
org.eclipse.rse.ftp_3.7.0.201505221634.jar,1
org.eclipse.rse.local_3.7.0.201505221634.jar,1
org.eclipse.rse.ssh_3.7.0.201505221634.jar,1
org.eclipse.rse.telnet_3.7.0.201505221634.jar,1
org.eclipse.rse_3.7.0.201505221634.jar,0.88
org.eclipse.tm.terminal.connector.local.feature_4.0.0.201506040610.jar,1
org.eclipse.tm.terminal.connector.serial.feature_4.0.0.201506040610.jar,1
org.eclipse.tm.terminal.connector.ssh.feature_4.0.0.201506040610.jar,1
org.eclipse.tm.terminal.connector.telnet.feature_4.0.0.201506040610.jar,1
org.eclipse.tm.terminal.control.feature_4.0.0.201506040610.jar,1
org.eclipse.tm.terminal.feature_4.0.0.201506040610.jar,1
org.eclipse.tm.terminal.view.feature_4.0.0.201506040610.jar,1
com.ibm.icu_54.1.1.v201501272100.jar.pack.gz,0.934444339
com.jcraft.jsch_0.1.53.v201508180515.jar.pack.gz,0.886667299
com.sun.el_2.2.0.v201303151357.jar.pack.gz,0.886667299
